YEAR,MO,DY,T2M,T2MDEW,T2MWET,T2M_MAX,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,GWETTOP,GWETROOT,GWETPROF
1981,6,4,22.51,18.8,20.65,27.6,23.26,14.89,80.94,3.76,91.41,7.15,212.75,9.09,213.38,-999,-999,-999,0.66,0.61,0.59
1981,6,5,23.73,19.22,21.47,29.61,24.84,15.32,77.88,0.14,91.38,6.97,243.81,8.89,244.5,-999,-999,-999,0.59,0.6,0.59
1981,6,6,24.07,18.44,21.25,30.54,25.5,14.53,73.44,0.12,91.49,6.98,253.56,8.74,254.31,-999,-999,-999,0.56,0.59,0.58
1981,6,7,23.37,19.25,21.31,28.2,24.14,15.32,79.12,0.24,91.51,5.8,267,7.5,267.38,-999,-999,-999,0.56,0.58,0.58
1981,6,8,24.87,19.83,22.35,31.62,25.95,15.87,76.31,7.92,91.48,5.34,263.44,7.05,263.94,-999,-999,-999,0.6,0.59,0.58
1981,6,9,25.73,19.7,22.71,32.27,27.14,15.75,72.44,0.28,91.53,5.26,271.19,6.89,271.94,-999,-999,-999,0.57,0.59,0.58
1981,6,10,25.82,20.02,22.92,32.07,27.19,16.05,73.31,0.08,91.47,5.05,267.25,6.49,267.81,-999,-999,-999,0.55,0.58,0.58
1981,6,11,25.27,19.01,22.14,32.06,26.87,15.08,71.38,0.42,91.46,5.49,251.5,6.94,251.94,-999,-999,-999,0.54,0.57,0.58
1981,6,12,24.67,19.47,22.07,29.74,25.86,15.56,75,0.41,91.45,5.45,258.5,6.92,259.12,-999,-999,-999,0.54,0.57,0.57
1981,6,13,23.5,19.35,21.42,28.64,24.44,15.44,79.19,0.21,91.26,6.9,262.38,8.65,263.12,-999,-999,-999,0.54,0.57,0.57
1981,6,14,23.19,19.3,21.25,27.76,24.15,15.44,80.06,0.3,91.17,5.5,273.38,6.83,274.25,-999,-999,-999,0.54,0.56,0.57
1981,6,15,23.64,18.95,21.3,28.59,24.92,15.08,76.81,0.08,91.2,5.42,263.81,6.77,264.44,-999,-999,-999,0.53,0.56,0.56
1981,6,16,23.62,18.77,21.19,28.94,24.75,14.89,76.19,0.94,91.23,6.12,268,7.69,268.69,-999,-999,-999,0.53,0.56,0.56
1981,6,17,22.73,18.95,20.84,26.95,23.24,15.08,80.38,0.94,91.22,8.29,261.31,10.57,261.75,-999,-999,-999,0.54,0.56,0.56
1981,6,18,22.27,18.2,20.24,27.01,22.93,14.34,79,0.85,91.31,8.71,253.19,11.07,253.75,-999,-999,-999,0.54,0.56,0.56
